Noise RMSE: 0.034338828479182244
Window side: 3, R: 1, Noise threshold: None, RMSE: 0.026849351034732308
Window side: 3, R: 1, Noise threshold: 0.01, RMSE: 0.025378839175973777
Window side: 3, R: 1, Noise threshold: 0.05, RMSE: 0.025389413906985403
Window side: 3, R: 1, Noise threshold: 0.1, RMSE: 0.02542778567840817
Window side: 3, R: 1, Noise threshold: 0.15, RMSE: 0.0255938123425464
Window side: 3, R: 1, Noise threshold: 0.2, RMSE: 0.025780637889464966
Window side: 3, R: 1, Noise threshold: 0.25, RMSE: 0.02598449708937775
Window side: 3, R: 1, Noise threshold: 0.3, RMSE: 0.026155717214039614
Window side: 3, R: 2, Noise threshold: None, RMSE: 0.012210541649175588
Window side: 3, R: 2, Noise threshold: 0.01, RMSE: 0.006885898669684067
Window side: 3, R: 2, Noise threshold: 0.05, RMSE: 0.0070052531023962715
Window side: 3, R: 2, Noise threshold: 0.1, RMSE: 0.0071831352607779385
Window side: 3, R: 2, Noise threshold: 0.15, RMSE: 0.007782486124325271
Window side: 3, R: 2, Noise threshold: 0.2, RMSE: 0.008452702766521282
Window side: 3, R: 2, Noise threshold: 0.25, RMSE: 0.009164199654777426
Window side: 3, R: 2, Noise threshold: 0.3, RMSE: 0.009773819967709242
Window side: 3, R: 3, Noise threshold: None, RMSE: 0.017366213397177196
Window side: 3, R: 3, Noise threshold: 0.01, RMSE: 0.0023958154209508995
Window side: 3, R: 3, Noise threshold: 0.05, RMSE: 0.0032388990388580075
Window side: 3, R: 3, Noise threshold: 0.1, RMSE: 0.003975657288836422
Window side: 3, R: 3, Noise threshold: 0.15, RMSE: 0.005834305852100746
Window side: 3, R: 3, Noise threshold: 0.2, RMSE: 0.00774088853658125
Window side: 3, R: 3, Noise threshold: 0.25, RMSE: 0.00959321291475102
Window side: 3, R: 3, Noise threshold: 0.3, RMSE: 0.011248019360330874
Window side: 4, R: 1, Noise threshold: None, RMSE: 0.029759061795530752
Window side: 4, R: 1, Noise threshold: 0.01, RMSE: 0.02856905175336462
Window side: 4, R: 1, Noise threshold: 0.05, RMSE: 0.028578465109571263
Window side: 4, R: 1, Noise threshold: 0.1, RMSE: 0.028605871402562377
Window side: 4, R: 1, Noise threshold: 0.15, RMSE: 0.02873719400337667
Window side: 4, R: 1, Noise threshold: 0.2, RMSE: 0.02888739164163991
Window side: 4, R: 1, Noise threshold: 0.25, RMSE: 0.029052576812079692
Window side: 4, R: 1, Noise threshold: 0.3, RMSE: 0.029190080165320598
Window side: 4, R: 2, Noise threshold: None, RMSE: 0.014253637303508246
Window side: 4, R: 2, Noise threshold: 0.01, RMSE: 0.010270527882947763
Window side: 4, R: 2, Noise threshold: 0.05, RMSE: 0.0103378920621122
Window side: 4, R: 2, Noise threshold: 0.1, RMSE: 0.010447215928364001
Window side: 4, R: 2, Noise threshold: 0.15, RMSE: 0.01087676836802935
Window side: 4, R: 2, Noise threshold: 0.2, RMSE: 0.011374120034688623
Window side: 4, R: 2, Noise threshold: 0.25, RMSE: 0.011912574943220724
Window side: 4, R: 2, Noise threshold: 0.3, RMSE: 0.012367927687369246
Window side: 4, R: 3, Noise threshold: None, RMSE: 0.012531589672944238
Window side: 4, R: 3, Noise threshold: 0.01, RMSE: 0.003883992342359099
Window side: 4, R: 3, Noise threshold: 0.05, RMSE: 0.004255210400038557
Window side: 4, R: 3, Noise threshold: 0.1, RMSE: 0.004598464968308257
Window side: 4, R: 3, Noise threshold: 0.15, RMSE: 0.005614165740252322
Window side: 4, R: 3, Noise threshold: 0.2, RMSE: 0.006689771000410558
Window side: 4, R: 3, Noise threshold: 0.25, RMSE: 0.007811118244799361
Window side: 4, R: 3, Noise threshold: 0.3, RMSE: 0.0087612852086181
Window side: 4, R: 4, Noise threshold: None, RMSE: 0.02047911069786441
Window side: 4, R: 4, Noise threshold: 0.01, RMSE: 0.0023167303401409323
Window side: 4, R: 4, Noise threshold: 0.05, RMSE: 0.0034686711680844366
Window side: 4, R: 4, Noise threshold: 0.1, RMSE: 0.004341454909877686
Window side: 4, R: 4, Noise threshold: 0.15, RMSE: 0.006529751204034294
Window side: 4, R: 4, Noise threshold: 0.2, RMSE: 0.008811363992344735
Window side: 4, R: 4, Noise threshold: 0.25, RMSE: 0.011058188011883296
Window side: 4, R: 4, Noise threshold: 0.3, RMSE: 0.0130501176884385
